QRG TX,QRG RX,Call,QTH,Locator,Alt.,Remarks,Status,lat,lon
438.8500,431.2500,HB9MM,La Praz,JN36FQ,887m,FM 1750Hz,1,"46.6675257","6.4272029"
438.8750,431.2750,HB9LU,Luzern,JN47EB,624m,FM T71.9,1,47.0625000,8.3750000
438.9250,431.3250,HB9F,Bern-Wankdorf,JN36RX,561m,C4FM #17882 FM T94.8,1,"46.9599837","7.472708"
438.9250,431.3250,HB9HD,Oberheid,JN47ML,771m,FM T71.9,1,47.4791667,9.0416667
438.9500,431.3500,HB9AG,Strihen,JN47AK,850m,EL#48950 FM T77.0,1,"47.4494168","8.0368209"
438.9750,431.3750,HB9F,Interlaken,JN36WQ,661m,NFM T94.8,1,"46.6855231","7.8585139"
438.9750,431.3750,HB9GL,Mollis Fronalp,JN47NB,1382m,EL#41140 T71.9 <>Zürich,1,"47.0741426","9.0945366"
439.0000,431.4000,HB9FG,Le Gibloux,JN36MQ,1201m,FM T67.0,1,"46.6841642","7.0402724"
439.0000,431.4000,HB9SP,Zürich,JN47GJ,513m,DMR-I #228804 CC5 SWISS,1,47.3958333,8.5416667
439.0250,431.4250,HB9FS,Basel,JN37TN,250m,FM 1750Hz,1,"47.5581077","7.5878261"
439.0250,431.4250,HB9BB,Buchserberg,JN47RD,1411m,EL#263037 FM T141.3,1,"47.1531328","9.4433907"
439.0250,431.4250,HB9SH,Schaffhausen,JN47IR,515m,FM 1750Hz,1,47.7291667,8.7083333
439.0250,431.4250,HB9AS,La Berneuse,JN36MI,2032m,EL#423775 FM T67.0,1,"46.3597739","7.0017835"
439.0250,431.4250,HB9PFI,Grindelwald,JN46AO,1391m,FM T94.8,1,"46.6242733","8.0367462"
439.0250,431.4250,HB9T,Thun,JN36SS,656m,C4FM #31830 FM T94.8,1,46.7708333,7.5416667
439.0500,431.4500,HB9F,Niesen,JN36TP,2364m,NFM T94.8,1,"46.6461936","7.6523674"
439.0500,431.4500,HB9CF,Andermatt,JN46GP,1850m,EL#37913 T71.9 <>Bachtel,1,"46.629718249999996","8.576460663684966"
439.0500,431.4500,HB9OK,Monti di Malmera,JN46ME,744m,C4FM #18814 T1750,1,46.1875000,9.0416667
439.0500,431.4500,HB9OK,Poschiavo,JN56AH,1015m,DMR #228709 CC1 C4FM,1,"46.3264671","10.0581552"
439.0750,431.4750,HB9HB,Unt.Grenchenberg,JN37QF,1375m,FM T88.5,1,47.2291667,7.3750000
439.0750,431.4750,HB9DC,Etzel,JN47JE,1092m,DMR-I #228801 CC5 SWISS,1,"47.1776748","8.7679387"
439.1000,431.5000,HB9G,Petit Lancy,JN36BE,450m,NFM,1,"46.1909747","6.1200687"
439.1000,431.5000,HB9ZF,Bachtel,JN47KH,946m,DMR-B #228807 CC1,1,"47.2941899","8.885733"
439.1250,431.5250,HB9FM,Basel,JN37SM,352m,FM T71.9,1,47.5208333,7.5416667
439.1250,431.5250,HB9AW,Twerenegg,JN47AB,903m,D-STAR CCS#61302,1,"47.0658415","8.0120157"
439.1500,431.5500,HB9UF,Winterthur,JN47IL,502m,"FM T88.5 ""W""",1,"47.4991723","8.7291498"
439.1500,431.5500,HB9UHF,Vairano,JN46JD,673m,EL#439150 FM T71.9,1,"46.1318865","8.8120079"
439.1500,431.5500,HB9UF,Zofingen,JN37XH,644m,EL#612317 FM T71.9,1,47.3125000,7.9583333
439.1500,431.5500,HB9F,Ringgenberg,JN36WQ,590m,MM FM/D-STAR/APCO/DMR,1,"46.7044135","7.8960911"
439.2000,431.6000,HB9AE,Lutry,JN36IM,750m,DMR-B #228103 CC1,1,"46.5032766","6.6867879"
439.2000,431.6000,HB9T,Trubschachen,JN36VV,1026m,C4FM #31927 FM T100.0,1,46.8958333,7.7916667
439.2000,431.6000,HB9HORU,Zermatt VS,JN36UA,1627m,C4FM #34205 T94.8 <>HB9T,1,"46.0222273","7.7494002"
439.2250,431.6250,HB9ZO,Gossau,JN47JH,500m,FM T71.9,1,"47.2929081","8.7771094"
439.2250,431.6250,HB9VD,Le Chasseron,JN36GU,1570m,EL#7336 FM T67.0,1,"46.8518295","6.5379796"
439.2500,431.6500,HB9FS,Bad Ramsach,JN37WJ,750m,FM 1750Hz,1,"47.4061826","7.8720113"
439.2500,431.6500,HB9AW,Willisau,JN37XB,799m,EL#6879 FM T71.9,1,47.0625000,7.9583333
439.2500,431.6500,HB4FL,L'Aiguille,JN36MF,1436m,DMR-B #228118 CC2,1,46.2291667,7.0416667
